Field=#~Integer~#~50|Field=Designator~String~Designator~293|Field=Comment~String~Comment~71|Field=Description~String~Description~728|Field=Quantity~Integer~Quantity~79|Field=Footprint~String~Footprint~364|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~MercurialSDR.PrjPcb|ReportField=ProjectFullPath~C:\Users\marii\Desktop\PCB-master\MercurialSDR\MercurialSDR.PrjPcb|ReportField=Title~Bill of Materials For Project [MercurialSDR.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~134|ReportField=ReportTime~9:52:49 AM|ReportField=ReportDate~5/1/2020|ReportField=ReportDateTime~5/1/2020 9:52:49 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Andres Hojnadel|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~5/1/2020|ReportField=CurrentTime~9:44:08 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\marii\Desktop\PCB-master\MercurialSDR\MercurialSDR_BLK.SchDoc|ReportField=DocumentName~MercurialSDR_BLK.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Andres Hojnadel|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~1/21/2020|ReportField=Organization~|ReportField=ProjectName~MercurialSDR.PrjPcb|ReportField=Revision~Rev2.0|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~6|ReportField=Time~|ReportField=Title~MercurialSDR - Block Diagram|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~MercurialSDR.PrjPcb|ReportField=DataSourceFullPath~C:\Users\marii\Desktop\PCB-master\MercurialSDR\MercurialSDR.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
93|R16|10k 1% 1/10W - CR0603-FX-1002EAS|Resistor|1|RES_0603
94|R17|10k 1% 1/10W - CR0603-FX-1002EAS|Resistor|1|RES_0603
95|R18|180 1% 1/10W - CR0603-FX-1800ELF|Resistor|1|RES_0603
96|R19|120 1% 1/10W - CR0603-FX-1200ELF|Resistor|1|RES_0603
97|R20|120 1% 1/10W - CR0603-FX-1200ELF|Resistor|1|RES_0603
98|R21|10k 1% 1/10W - CR0603-FX-1002EAS|Resistor|1|RES_0603
99|R22|26.1k 1% 1/10W - CR0603-FX-2612ELF|Resistor|1|RES_0603
100|R23|26.1k 1% 1/10W - CR0603-FX-2612ELF|Resistor|1|RES_0603
101|R24|26.1k 1% 1/10W - CR0603-FX-2612ELF|Resistor|1|RES_0603
102|R25|130 1% 1/10W - CR0603-FX-1300ELF|Resistor|1|RES_0603
103|R26|10k 1% 1/10W - CR0603-FX-1002EAS|Resistor|1|RES_0603
104|R27|130 1% 1/10W - CR0603-FX-1300ELF|Resistor|1|RES_0603
105|R28|130 1% 1/10W - CR0603-FX-1300ELF|Resistor|1|RES_0603
106|R29|130 1% 1/10W - CR0603-FX-1300ELF|Resistor|1|RES_0603
107|R30|10k 1% 1/10W - CR0603-FX-1002EAS|Resistor|1|RES_0603
108|R31|130 1% 1/10W - CR0603-FX-1300ELF|Resistor|1|RES_0603
109|R32|130 1% 1/10W - CR0603-FX-1300ELF|Resistor|1|RES_0603
110|R33|130 1% 1/10W - CR0603-FX-1300ELF|Resistor|1|RES_0603
111|R34|130 1% 1/10W - CR0603-FX-1300ELF|Resistor|1|RES_0603
112|R35|330 5% 1/10W - CR0603-JW-331ELF|Resistor|1|RES_0603
113|R36|150 1% 1/10W - CR0603-FX-1500ELF|Resistor|1|RES_0603
114|SW1|PTS645SM43SMTR92 LFS|Pulsador|1|SWITCH_6X6mm
115|SW2|PTS645SM43SMTR92 LFS|Pulsador|1|SWITCH_6X6mm
116|SW3|PTS645SM43SMTR92 LFS|Pulsador|1|SWITCH_6X6mm
117|SW4|PTS645SM43SMTR92 LFS|Pulsador|1|SWITCH_6X6mm
118|SW5|PTS645SM43SMTR92 LFS|Pulsador|1|SWITCH_6X6mm
119|TP1|Test Point|Test Point|1|TP_TH
120|TP2|Test Point|Test Point|1|TP_TOP
121|TP3|Test Point|Test Point|1|TP_TOP
